"TOA5","CR6Series","CR6","3767","CR6.Std.04 CR6-WIFI.01","CPU:ew_fullsun_code Rev1.CR6","51073","soil_moi"
"TIMESTAMP","RECORD","BattV_Min","VW_Avg"
"TS","RN","Volts",""
"","","Min","Avg"
"2018-07-18 10:00:00",118,14.12,"NAN"
"2018-07-18 11:00:00",119,14.15,"NAN"
"2018-07-18 12:00:00",120,14.26,"NAN"
"2018-07-18 13:00:00",121,14.34,"NAN"
"2018-07-18 14:00:00",122,14.29,"NAN"
"2018-07-18 15:00:00",123,14.18,"NAN"
"2018-07-18 16:00:00",124,14.14,"NAN"
"2018-07-18 17:00:00",125,14.06,"NAN"
"2018-07-18 18:00:00",126,13.95,"NAN"
"2018-07-18 19:00:00",127,14.06,"NAN"
"2018-07-18 20:00:00",128,14.06,"NAN"
"2018-07-18 21:00:00",129,12.9,"NAN"
"2018-07-18 22:00:00",130,12.86,"NAN"
"2018-07-18 23:00:00",131,12.85,"NAN"
"2018-07-19 00:00:00",132,12.81,"NAN"
"2018-07-19 01:00:00",133,12.81,"NAN"
"2018-07-19 02:00:00",134,12.78,"NAN"
"2018-07-19 03:00:00",135,12.77,"NAN"
"2018-07-19 04:00:00",136,12.77,"NAN"
"2018-07-19 05:00:00",137,12.74,"NAN"
"2018-07-19 06:00:00",138,12.73,"NAN"
"2018-07-19 07:00:00",139,12.74,"NAN"
"2018-07-19 08:00:00",140,12.86,"NAN"
"2018-07-19 09:00:00",141,14.36,"NAN"
"2018-07-19 10:00:00",142,14.24,"NAN"
"2018-07-19 11:00:00",143,14.24,"NAN"
"2018-07-19 12:00:00",144,14.25,"NAN"
"2018-07-19 13:00:00",145,14.25,"NAN"
"2018-07-19 14:00:00",146,14.25,"NAN"
"2018-07-19 15:00:00",147,14.19,"NAN"
"2018-07-19 16:00:00",148,14.05,"NAN"
"2018-07-19 17:00:00",149,13.98,"NAN"
"2018-07-19 18:00:00",150,13.99,"NAN"
"2018-07-19 19:00:00",151,13.97,"NAN"
"2018-07-19 20:00:00",152,13.93,"NAN"
"2018-07-19 21:00:00",153,12.91,"NAN"
"2018-07-19 22:00:00",154,12.85,"NAN"
"2018-07-19 23:00:00",155,12.84,"NAN"
"2018-07-20 00:00:00",156,12.82,"NAN"
"2018-07-20 01:00:00",157,12.81,"NAN"
"2018-07-20 02:00:00",158,12.78,"NAN"
"2018-07-20 03:00:00",159,12.77,"NAN"
"2018-07-20 04:00:00",160,12.77,"NAN"
"2018-07-20 05:00:00",161,12.77,"NAN"
"2018-07-20 06:00:00",162,12.74,"NAN"
"2018-07-20 07:00:00",163,12.74,"NAN"
"2018-07-20 08:00:00",164,12.9,"NAN"
"2018-07-20 09:00:00",165,13.31,"NAN"
"2018-07-20 10:00:00",166,14.19,"NAN"
"2018-07-20 11:00:00",167,14.18,"NAN"
"2018-07-20 12:00:00",168,14.19,"NAN"
"2018-07-20 13:00:00",169,14.18,"NAN"
"2018-07-20 14:00:00",170,14.18,"NAN"
"2018-07-20 15:00:00",171,14.17,"NAN"
"2018-07-20 16:00:00",172,14.13,"NAN"
"2018-07-20 17:00:00",173,14.24,"NAN"
"2018-07-20 18:00:00",174,13.83,"NAN"
"2018-07-20 19:00:00",175,14.36,"NAN"
"2018-07-20 20:00:00",176,14.45,"NAN"
"2018-07-20 21:00:00",177,12.89,"NAN"
"2018-07-20 22:00:00",178,12.85,"NAN"
"2018-07-20 23:00:00",179,12.85,"NAN"
