TOA5,CR6Series,CR6,3767,51073,3767
TIMESTAMP,RECORD,AirTC_Avg,RH,PotSlrW_Avg,WS_ms_S_WVT
TS,RN,Deg C,%,W/m^2,meters/second
,,Avg,Smp,Avg,WVc
7/17/2018 22:00,106,22.37,64.31,501.9,0.604
7/17/2018 23:00,107,21.41,66.44,745.4,0.897
7/18/2018 0:00,108,20.48,69.07,960,0.966
7/18/2018 1:00,109,19.67,74.11,1130,0.861
7/18/2018 2:00,110,18.75,78.93,1245,0.436
7/18/2018 3:00,111,17.97,82.9,1297,0
7/18/2018 4:00,112,17.1,88.8,1281,0.037
7/18/2018 5:00,113,16.23,85.8,1200,0.276
7/18/2018 6:00,114,15.82,94.1,1058,0.041
7/18/2018 7:00,115,14.93,97.1,866,0.006
7/18/2018 8:00,116,16.28,85.1,635.7,0.07
7/18/2018 9:00,117,18.25,72.66,384.1,0.607
7/18/2018 10:00,118,19.62,62.88,130.2,0.958
7/18/2018 11:00,119,21.12,60.84,-115.6,1.021
7/18/2018 12:00,120,21.86,57.52,-332.8,1.001
7/18/2018 13:00,121,22.88,44.06,-503.9,1.024
7/18/2018 14:00,122,23.89,44.52,-619.3,1.088
7/18/2018 15:00,123,24.08,47.29,-671.1,1.146
7/18/2018 16:00,124,24.46,44.41,-655.9,1.182
7/18/2018 17:00,125,24.51,41.02,-574.6,0.941
7/18/2018 18:00,126,25.26,42.37,-432.8,1.046
7/18/2018 19:00,127,24.96,42.47,-240,0.754
7/18/2018 20:00,128,24,50.25,-5.356,0.492
7/18/2018 21:00,129,22.1,55.15,243.6,0.044
7/18/2018 22:00,130,20.09,70.86,499.3,0.414
7/18/2018 23:00,131,18.5,69.73,743.1,0.797
7/19/2018 0:00,132,17.67,70.25,958,0.656
7/19/2018 1:00,133,17.12,74.02,1128,0.805
7/19/2018 2:00,134,16.53,73.08,1244,1.002
7/19/2018 3:00,135,16.15,83.2,1295,0.204
7/19/2018 4:00,136,15.22,89,1280,0.209
7/19/2018 5:00,137,14.13,86.2,1198,0.512
7/19/2018 6:00,138,14.05,86.3,1057,0.413
